AD	 n. 公元；广告（ad）
during	 prep.  在…期间
during	 prep. 在…的时候，在…的期间 n. (During)人名；(法)迪兰；(瑞典、利比)杜林
dusk	 n. 黄昏，薄暮；幽暗，昏暗 adj. 微暗的 v. 使变微暗
dust	 n. 灰尘；尘埃；尘土 v. 撒；拂去灰尘
dustbin	 n. 垃圾箱；吃货
dusty	 adj. 落满灰尘的
duty	 n.  责任， 义务； 职责， 职务； 税， 关税
duty	 n. 责任；[税收] 关税；职务
each	 adj. 每；各自的 adv. 每个；各自 pron. 每个；各自
each	 pron&adv.  各个， 每个
eager	 adj. 渴望的；热切的；热心的 n. (Eager)人名；(英)伊格
eagle	 n. 鹰；鹰状标饰
ear	 n.  耳， 耳朵； 听力， 听觉
ear	 n. 耳朵；穗；听觉；倾听 vi. （美俚）听见；抽穗
early	 adj. 早期的；早熟的 adv. 提早；在初期 n. (Early)人名；(英)厄尔利
early	 adv.  在开始阶段， 在初期； 提前， 提早 adj. 早期的；提早的，提前的
earn	 v. 赚，赚得；获得，挣得；使得到；博得 n. (Earn)人名；(泰)炎
earth	 n.  地球； 陆地， 地面； 土， 泥
earth	 n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴 v. 把（电线）[电] 接地；盖（土）；追赶入洞穴
earthquake	 n.  地震
earthquake	 n. 地震；大动荡
ease	 v. 减轻，缓和；使安心 n. 轻松，舒适；安逸，悠闲
easily	 adv.  容易地， 不费力地
easily	 adv. 容易地；无疑地
east	 adv.  向东方 adj. 东方的；来自东方的 n. 东，东部
east	 n. 东方；东风；东方国家 adj. 东方的；向东的；从东方来的 adv. 向东方，在东方
eastern	 adj.  东方的， 东部的
eastern	 adj. 东方的；朝东的；东洋的 n. 东方人；（美国）东部地区的人
eastwards	 adv. 向东方地 adj. 向东方的
easy	 adj.  容易的， 不费力的； 舒适的， 安逸的； 随和的， 友善的
easy	 adj. 容易的；舒适的 adv. 不费力地，从容地 vi. 停止划桨 vt. 发出停划命令
eat	 v.  [ate-eaten] 吃， 吃饭
eat	 v. 吃，喝；腐蚀；烦扰
ecology	 n. 生态学；社会生态学
edge	 n.  边， 边缘； 刀口， 刃； 优势， 优越地位
edge	 n. 边缘；优势；刀刃；锋利 v. 使锐利；将…开刃；给…加上边
edition	 n. 版本
editor	 n. 编者，编辑；社论撰写人；编辑装置
educate	 v.  教育； 培养， 训练
educate	 v. 教育；培养；训练
education	 n. 教育；培养；教育学
educator	 n. 教育家；教育工作者；教师
effect	 n. 影响；效果；作用 v. 产生；达到目的
effort	 n.  努力， 尝试； 努力的成果， 成就
effort	 n. 努力；成就
egg	 n.  蛋； 卵
egg	 n. 蛋；卵子；家伙；鸡蛋 v. 煽动；怂恿
eggplant	 n. 茄子 adj. 深紫色的
eight	 num.  八
eight	 num. 八；八个；第八 adj. 八的 n. 八字形
eighteen	 n. 十八，十八个 adj. 十八个的，十八的 num. 十八
eighteen	 num.  十八
eighteenth	 num.  第十八
eighth	 adj. 第八的；八分之一的 num. 第八；八分之一
eighth	 num. 第八 n.  八分之一
eighty	 n. 八十；八十岁；八十年代 adj. 八十的，八十个的；八十岁的 num. 八十
eighty	 num.  八十
either	 adj. 两者之中任一的；两者之中每一的 prep. 任何一个 conj. 也（用于否定句或否定词组后）；根本 pron. 任一，两方，随便哪一个；两者中的一个或另一个
either	 adv.  也 adj. 任一的，每一的
elbow	 v.  用肘推， 用肘挤 n. 肘部
elder	 adj. 年龄较大的，年长的
elder	 n. 老人；长辈；年长者；父辈 adj. 年长的；年龄较大的；资格老的
elect	 adj. 选出的；当选的；卓越的 n. 被选的人；特殊阶层；上帝的选民 v. 选举；选择；推选
electric	 adj.  电动的， 电的
electric	 adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体
electrical	 adj. 有关电的；电气科学的
electricity	 n. 电力；电流；强烈的紧张情绪
electronic	 adj. 电子的 n. 电子电路；电子器件
elegant	 adj. 高雅的，优雅的；讲究的；简炼的；简洁的
elementary	 adj.  基本的， 基础的； 初级的， 小学的
elephant	 n.  象
elephant	 n. 象；大号图画纸
elevator	 n.  电梯； 升降机
eleven	 n. 十一；十一个 adj. 十一的；十一个的 num. 十一；十一个
eleven	 num.  十一
eleventh	 num.  第十一
else	 adv.  其他， 另外
else	 adv. 其他；否则；另外 adj. 别的；其他的 n. (Else)人名；(英)埃尔斯；(德)埃尔泽；(芬、丹)埃尔塞
embarrass	 v. 使局促不安；使困窘；阻碍
embarrassed	 adj.  尴尬的， 为难的； 陷入困境的， 窘迫的
embassy	 n. 大使馆；大使馆全体人员
emergency	 n. 紧急情况；突发事件；非常时刻 adj. 紧急的；备用的
emotion	 n.  感情； 激情； 情绪
emperor	 n. 皇帝，君主
empire	 n. 帝国；帝王统治，君权
employ	 v. 使用，采用；雇用；使忙于，使从事于 n. 使用；雇用
empty	 adj. 空的；无意义的；无知的；徒劳的 v. 使失去；使…成为空的 n. 空车；空的东西
empty	 adj. 空的；空闲的；空虚的 v.  空， 倒出
encourage	 v.  鼓励； 激励， 促进
encourage	 v. 鼓励，怂恿；激励；支持
encouragement	 n. 鼓励
end	 n. 结束；目标；尽头；末端；死亡 v. 结束，终止；终结
end	 v.  结束， 终止 n. 最后部分，末尾；死亡；终止，结局；结果，目标
ending	 n. 结局；结尾
endless	 adj. 无止境的；连续的；环状的；漫无目的的
enemy	 n.  敌人， 仇敌
enemy	 n. 敌人，仇敌；敌军 adj. 敌人的，敌方的
energetic	 adj. 精力充沛的；积极的；有力的
energy	 n.  干劲， 精力； 能量； 能源
energy	 n. [物] 能量；精力；活力；精神
engine	 n. 引擎，发动机；机车，火车头；工具
engineer	 n.  工程师， 机械师
engineer	 n. 工程师；工兵；火车司机 v. 设计；策划；精明地处理
enjoy	 v.  享受； 喜爱； 享有
enjoy	 v. 欣赏，享受；喜爱；使过得快活
enjoyable	 adj. 快乐的；有乐趣的；令人愉快的
enlarge	 v. 扩大；放大；详述
enough	 adv. 足够地，充分地；相当，达到一定的程度 adj.  足够的
enough	 adv. 足够地，充足地 n. 很多；充足 adj. 充足的 int. 够了！
enquiry	 n. [计] 询问，[贸易] 询盘
enter	 v.  进入； 参加， 加入
enter	 v. 进入；开始；参加 n. [计] 输入；回车
enterprise	 n. 企业；事业；进取心；事业心
entertainment	 n.  娱乐； 表演会； 招待， 款待
entertainment	 n. 娱乐；消遣；款待
enthusiastic	 adj. 热情的；热心的；狂热的
entire	 adj. 全部的，整个的；全体的 n. (Entire)人名；(英)恩泰尔
entrance	 n. 入口；进入 v. 使出神，使入迷
entry	 n. 进入；入口；条目；登记；报关手续；对土地的侵占
envelope	 n.  信封
envelope	 n. 信封，封皮；包膜；[天] 包层；包迹
environment	 n.  周围状况， 环境
environment	 n. 环境，外界
envy	 n. 嫉妒，妒忌；羡慕 v. 嫉妒，妒忌；羡慕
equal	 adj. 平等的；相等的；胜任的 v. 等于；比得上 n. 对手；匹敌；同辈；相等的事物
equality	 n. 平等；相等；[数] 等式
equip	 v. 装备，配备
equipment	 n.  装备， 配备
equipment	 n. 设备，装备；器材
eraser	 n.  橡皮
eraser	 n. 橡皮；擦除器；[计] 清除器
error	 n. 误差；错误；过失
erupt	 v. 爆发；喷出；发疹；长牙
escalator	 n.  〈美〉自动扶梯
escape	 v. 逃脱，逃走；避免，躲避 n.  逃脱， 逃跑； 逃避
escape	 v. 逃避，避开，避免；被忘掉；被忽视 n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
especially	 adv.  特别， 尤其， 格外
especially	 adv. 特别；尤其；格外
essay	 n.  短文， 文章； 随笔， 散文
essay	 n. 散文；试图；随笔 v. 尝试；对…做试验
establish	 v.  建立， 设立； 确定， 证实
etiquette	 n.  礼节， 礼仪
evaluate	 v. 评价；估价；求…的值
even	 adj. [数] 偶数的；平坦的；相等的 adv. 甚至；即使；还；实际上 v. 使平坦；使相等 n. (Even)人名；(法)埃旺；(德)埃文；(英)埃文
even	 adv. 甚至；即使 adj.  平的； 均匀的， 平稳的； 相等的， 均衡的； 偶数的
evening	 n.  傍晚， 晚上
evening	 n. 晚上；傍晚；（联欢性的）晚会；后期 adj. 在晚上的；为晚上的；晚上用的 int. 晚上好（等于good evening）
event	 n. 事件，大事；项目；结果
eventually	 adv. 最后，终于
ever	 adv.  在任何时候， 从来； 曾经
ever	 adv. 永远；曾经；究竟 n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔
every	 adj.  每一， 每个； 每…一次的； 所有可能的
every	 adj. 每一的，每个的；每隔…的 n. (Every)人名；(英)埃夫里
everybody	 pron.  每人， 人人， 各人
everybody	 pron. 每个人；人人
everyday	 adj.  每天的； 日常的
everyday	 adj. 每天的，日常的 n. 平时；寻常日子
everyone	 pron.  每人， 人人， 各人
everyone	 pron. 每个人；人人 n. 每个人
everything	 pron.  每件事， 一切； 最重要的东西
everything	 pron. 每件事物；最重要的东西；（有关的）一切；万事
everywhere	 adv.  到处， 各处， 无论何处
everywhere	 adv. 到处 n. 每个地方
evidence	 n. 证据，证明；迹象；明显 v. 证明
evident	 adj. 明显的；明白的
evolution	 n. 演变；进化论；进展
exact	 adj. 准确的，精密的；精确的 v. 要求；强求；急需
exactly	 adv. 恰好地；正是；精确地；正确地
exam	 n.  考试； 试题； 检查， 调查
exam	 n. 考试；测验
examine	 v.  检查； 调查； 考试， 测验
examine	 v. 检查；调查； 检测；考试
example	 n.  例子， 实例； 榜样， 楷模
example	 n. 例子；榜样 vt. 作为…的例子；为…做出榜样 vi. 举例
excellent	 adj.  优秀的， 卓越的， 杰出的
excellent	 adj. 卓越的；极好的；杰出的
except	 v.  将…除外， 不包括 prep. 除…外
except	 v. 不计；把…除外 prep. 除…之外 conj. 除了；要不是
exchange	 n. 交换；交流；交易所；兑换 v. 交换；交易；兑换
exchange	 v.  调换， n. 交换，互换；交易所；兑换，兑换率
excite	 v.  使兴奋； 使激动； 引起， 激起
excite	 v. 激起；刺激…，使…兴奋
excuse	 n. 借口；理由 v. 原谅；为…申辩；给…免去
excuse	 v.  原谅， 宽恕； 使免除； 为…辩解， 作为开脱…的理由
exercise	 n.  锻炼， 运动； 练习， 习题； 运用， 行使； 操练， 演习
exercise	 n. 运动；练习；运用；操练；礼拜；典礼 v. 锻炼；练习；使用；使忙碌；使惊恐
exhibition	 n.  展览
exhibition	 n. 展览，显示；展览会；展览品
exist	 v. 存在；生存；生活；继续存在
existence	 n. 存在，实在；生存，生活；存在物，实在物
exit	 n. 出口，通道；退场 v. 退出；离去
expand	 v. 扩张；使膨胀；详述
expect	 v.  预期； 指望， 盼望； 要求
expect	 v. 期望；指望；认为；预料
expectation	 n. 期待；预期；指望
expense	 n. 损失，代价；消费；开支 vt. 向…收取费用 vi. 被花掉
expensive	 adj.  昂贵的， 花钱多的
expensive	 adj. 昂贵的；花钱的
experience	 n. 经验；经历；体验 v. 经验；经历；体验
experience	 v.  经历， 体验， 感受 n. 经历，阅历；经验，体验
experiment	 v.  进行试验， 做实验 n. 实验，试验
experiment	 v. 尝试；进行实验 n. 实验，试验；尝试
expert	 adj. 熟练的；内行的；老练的 n. 专家；行家；能手 vt. 当专家；在…中当行家
explain	 v.  讲解， 说明
explain	 v. 说明；解释
explanation	 n. 说明，解释；辩解
explicit	 adj. 明确的；清楚的；直率的；详述的
explode	 v. 爆炸，爆发；激增
exploit	 v. 开发，开拓；剥削；开采 n. 勋绩；功绩
explore	 v. 探索；探测；探险
explorer	 n. 探险家；勘探者；探测器；[医]探针
export	 n. 输出，出口；出口商品 v. 输出物资
expose	 v. 揭露，揭发；使曝光；显示
express	 adv.  用快递方式； v. 表示，表达 adj. 特快的，直达的；明确的，明白表示的
express	 v. 表达；快递 adj. 明确的；迅速的；专门的 n. 快车，快递，专使；捷运公司
expression	 n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
extension	 n. 延长；延期；扩大；伸展；电话分机
extra	 adv. 特别地 adj. 额外的；特别的 n.  额外的事物， 另外收费的事物
extra	 adv. 特别地，非常；另外 n. 临时演员；号外；额外的事物；上等产品 adj. 额外的，另外收费的；特大的
extraordinary	 adj. 非凡的；特别的；离奇的；临时的；特派的
extreme	 adj. 极端的；极度的；偏激的；尽头的 n. 极端；末端；最大程度；极端的事物
extremely	 adv. 非常，极其；极端地
eye	 n.  眼， 眼睛； 虹膜； 眼状物
eye	 n. 眼睛；视力；眼光；见解，观点 v. 注视，看
eyesight	 n. 视力；目力
eyewitness	 n. 目击者；见证人
face	 n. 脸；表面；面子；面容；外观；威信 v. 向；朝
face	 v.  面向， 正对； 面对， 面临 n. 脸，面孔；面部表情；面，表面
facial	 adj. 面部的，表面的；脸的，面部用的 n. 美容，美颜；脸部按摩
fact	 n.  事实， 真相
fact	 n. 事实；实际；真相
factory	 n. 工厂；制造厂；代理店
fade	 v. 褪色；凋谢；逐渐消失 adj. 平淡的；乏味的 n. [电影][电视] 淡出；[电影][电视] 淡入
fail	 v.  失败； 不及格； 衰退
fail	 v. 失败，不及格；破产；缺乏；衰退 n. 不及格
failure	 n. 失败；故障；失败者；破产
fair	 adj. 公平的；美丽的，白皙的；[气象] 晴朗的 adv. 公平地；直接地；清楚地 v. 转晴 n. 展览会；市集；美人
fair	 adv.  公正地， adj. 公平的，公正的；尚可的，不错的；浅色的，白皙的；晴朗的
fairly	 adv. 相当地；公平地；简直 n. (Fairly)人名；(英)费尔利
fairness	 n. 公平；美好；清晰；顺利性
faith	 n. 信仰；信念；信任；忠实
fall	 v.  [fell-fallen] 落下， 降落； 跌倒， 塌倒； 降临， 来临； 失势， 垮台； 下垂， 倾
fall	 v. 落下；变成；来临；减弱 n. 下降；秋天；瀑布 adj. 秋天的
familiar	 adj. 熟悉的；常见的；亲近的 n. 常客；密友
family	 n.  家； 家庭成员； 子女； 家族， 氏族
family	 n. 家庭；亲属；家族；子女；[生]科；语族；[化]族 adj. 家庭的；家族的；适合于全家的
famous	 adj.  著名的， 出名的
famous	 adj. 著名的；极好的，非常令人满意的
fan	 v.  煽动， 激起 n. 扇子；扇形物；狂热爱好者，迷
fan	 v. 煽动；刺激；吹拂 n. 迷；风扇；爱好者
fancy	 n. 幻想；想象力；爱好 adj. 想象的；奇特的；昂贵的；精选的 v. 想象；喜爱；设想；自负
fantastic	 adj.  极好的， 极出色的； 了不起的； 异想天开的， 不实际的； 奇异的， 古怪的
fantastic	 adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的 n. 古怪的人
fantasy	 n. 幻想；白日梦；幻觉 adj. 虚幻的 v. 空想；想像
far	 adv. 很；遥远地；久远地；到很远的距离；到很深的程度 adj. 远的；久远的 n. 远方
far	 adv. 远；久远；很大程度上，极 adj.  远的，　远方的；　久远的
fare	 v. 经营；进展；遭遇；过活 n. 票价；费用；旅客；食物
farm	 v.  耕作 n. 农场；养殖场
farm	 v. 种田，务农；经营农场 n. 农场；农家；畜牧场
farmer	 n.  农场主； 农民
farmer	 n. 农夫，农民
fashion	 n.  流行款式， 时兴式样；　时尚，　时兴
fast	 adj. 快速的，迅速的；紧的，稳固的 adv. 迅速地；紧紧地；彻底地 v. 禁食，斋戒 n. 斋戒；绝食
fast	 adv. 快地；牢固地 adj. 　快的，　迅速的；　敏捷的
fasten	 v. 使固定；集中于；扎牢；强加于 n. (Fasten)人名；(英)法森
fat	 adj. 肥的，胖的；油腻的；丰满的 n. 脂肪，肥肉 v. 养肥；在…中加入脂肪
fat	 adj. 肥胖的；多脂肪的 n.  脂肪； 肥肉
father	 n.  父亲； 祖先， 先辈； 创始人， 奠基人
father	 n. 父亲，爸爸；神父；祖先；前辈 v. 发明，创立；当…的父亲
fault	 n. 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误 v. 弄错；产生断层
favorite	 adj.  特别喜爱的 n. 特别喜欢的人或事物
favour	 n. 偏爱；赞同；善行 v. 赞成；喜爱；有助于
favourite	 adj. 特别受喜爱的 n. 特别喜爱的人（或物）
fax	 v.  传真 n. 传真；传真电文
fax	 v. 传真 n. 传真
fear	 n.  害怕， 恐惧； 恐惧的原因； 令人恐惧的事物
fear	 n. 害怕；恐惧；敬畏；担心 v. 害怕；敬畏；为…担心
feast	 v. 享受；款待，宴请 n. 筵席，宴会；节日
feather	 n. 羽毛 v. 用羽毛装饰
feature	 n. 特征，特色；
federal	 adj. 联邦的；同盟的；联邦政府的； 联邦制的 adv. 联邦政府地 n. (Federal)人名；(英)费德勒尔
fee	 n. 费用；酬金；小费 v. 付费给……
feed	 v.  [fed-fed] 喂， 为…提供食物； 吃， 以…为
feed	 v. 喂养；供给；放牧；抚养（家庭等）；靠…为生 n. 饲料；饲养；（动物或婴儿的）一餐
feel	 v. 感受到，觉得，体会到 n. 感觉
feel	 v. 感觉；认为；触摸；试探 n. 感觉；触摸
feeling	 n. 感觉，触觉；感情，情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸
fellow	 n. 家伙；朋友；同事；会员 adj. 同伴的，同事的；同道的 vt. 使…与另一个对等；使…与另一个匹敌
female	 adj. 女性的；雌性的；柔弱的，柔和的 n. 女人；[动] 雌性动物
fence	 n. 栅栏；围墙；剑术 v. 防护；用篱笆围住；练习剑术
fence	 v.  围住，　隔开； 回避，　搪塞 n. 栅栏，篱笆
ferry	 n. 渡船；摆渡；渡口 v. （乘渡船）渡过；用渡船运送；空运
festival	 n.  节， 节日， 喜庆日
festival	 n. 节日；庆祝，纪念活动；欢乐 adj. 节日的，喜庆的；快乐的
fetch	 v.  拿来； 请来， 叫来
fetch	 v. 取来；接来；到达；吸引 n. 取得；诡计
fever	 n.  发热， 发烧； 狂热
fever	 n. 发烧，发热；狂热 vt. 使发烧；使狂热；使患热病 vi. 发烧；狂热；患热病
few	 adj. 很少的；几乎没有的 pron. 很少 n. 很少数
few	 pron.  很少人；　有些，　一些 adj. 很少，几乎没有
fibre	 n. 纤维；纤维制品
fiction	 n.  小说
fiction	 n. 小说；虚构，编造；谎言
field	 n.  田地， 田野； 场地；　领域， 界，　学科
field	 n. 领域；牧场；旷野；战场；运动场 v. 担任场外队员 adj. 扫描场；田赛的；野生的
fierce	 adj. 凶猛的；猛烈的；暴躁的 n. (Fierce)人名；(英)菲尔斯
fifteen	 n. 十五；十五个；十五人组成的橄榄球队 adj. 十五的 num. 十五
fifteen	 num.  十五
fifteenth	 num. 第十五 n.  十五分之一
fifth	 adj. 第五的；五分之一的 n. 第五；五分之一 num. 第五
fifth	 num. 第五 n.  五分之一
fifty	 n. 五十；五十个；编号为50的东西 adj. 五十的；五十个的；众多的
fifty	 num.  五十
fight	 v. 打架；与…打仗，与…斗争；反对…提案 n. 打架；战斗，斗志
fight	 v. 打（仗），与（…）作战，战斗 n. 打斗，打架
figure	 n. 数字；人物；图形；价格；（人的）体形；画像 v. 计算；出现；扮演角色
file	 n. 文件；档案；文件夹；锉刀 v. 提出；锉；琢磨；把…归档
fill	 v. 装满，使充满；满足；堵塞；任职 n. 满足；填满的量；装填物
fill	 v. 装满；　使充满；满足 n.  填满…的量；　吃饱的量
film	 n. 电影；薄膜；胶卷；轻烟 v. 在…上覆以薄膜；把…拍成电影
film	 v.  拍摄电影 n. 影片，电影；胶片，胶卷；薄层，薄膜
final	 adj. 最后的，最终的；决定性的，确定性的 n.  期末考试； 决赛
final	 adj. 最终的；决定性的；不可更改的 n. 决赛；期末考试；当日报纸的末版
finance	 n. 财政，财政学；金融 v. 负担经费，供给…经费
find	 v. 发现，找到 〔一直在寻找之物〕 n. 〔尤指通过挖掘或水下打捞找到的〕发现物
find	 v. 查找，找到；发现；认为；感到；获得 n. 发现
fine	 adj.  健康的， 舒适的； 极好的， 优秀的； 纤细的， 细小的； 精制的， 高质量的；
fine	 adj. 好的；优良的；细小的，精美的；健康的；晴朗的 n. 罚款 v. 罚款；澄清 adv. 很好地；精巧地
finger	 n.  手指
finger	 n. 手指；指针，指状物 v. 伸出；用手指拨弄
fingernail	 n. 手指甲
finish	 v. 完成，结束 n.  结束， 末尾， 最后阶段
finish	 v. 完成；结束；用完 n. 结束；完美；回味（葡萄酒）
fire	 n. 火；火灾；炮火；炉火；热情；激情；磨难 v. 点燃；解雇；开除；使发光；烧制；激动；放枪
fire	 v.  放， 射出； 解 n. 火，炉火；火灾，失火；射击，火力
firefighter	 n. 消防队员
fireplace	 n. 壁炉
firewood	 n. 柴火；木柴
firework	 n. 烟火；激烈情绪
firm	 adj.  坚实的， 结实的； 稳固的； 坚定的， 坚决的 n. 公司，商行
firm	 adj. 坚定的；牢固的；严格的；结实的 v. 使坚定；使牢固 adv. 稳固地 n. 公司；商号
firmly	 adv. 坚定地，坚决地；坚固地，稳固地
first	 adv.  先， 在首位； 第一次， 首次 adj. 最先的，最早的 num. 第一
first	 adv. 第一；首先；优先；宁愿 n. 第一；开始；冠军 adj. 第一的；基本的；最早的 num. 第一
fish	 v.  钓， 捕 n. 鱼
fish	 v. 捕鱼，钓鱼；用钩捞取 n. 鱼，鱼类
fisherman	 n. 渔夫；渔人
fist	 n. 拳，拳头；〈口〉笔迹；掌握；[印]指标参见号 vt. 紧握；握成拳；用拳打
fit	 v. 可容纳，装进 adj. 〔尤因经常锻炼而〕健壮的，健康的 n. 〔感情的〕冲动，一阵发作 v. 〔疾病〕发作，突发
fit	 v. 安装；使……适应；使……合身；与……相符 adj. 健康的；合适的；恰当的；准备好的 n. 合身；发作；痉挛
five	 n. 五，五个；五美元钞票 num. 五，五个 adj. 五的；五个的
five	 num.  五
fix	 v.  修理； 固定； 安装； 安排， 确定； 整理， 收拾； 供给或准备
fix	 v. 使固定；修理；安装；准备 n. 困境；方位；贿赂
flag	 n.  旗， 旗帜； 标记
flag	 v. 标记；衰退；枯萎 n. 标志；旗子
flame	 n. 火焰；热情；光辉 v. 焚烧；泛红
flaming	 adj. 燃烧的；火红的；激昂的 v. 燃烧；变亮；发光（flame的ing形式） n. (Flaming)人名；(法)弗拉曼
flash	 v. 使闪光；反射 n. 闪光，闪现；一瞬间 adj. 闪光的，火速的
flashlight	 n. 手电筒；闪光灯
flat	 adj.  平的， 平坦的； 固定的， 统一的； 单调的， 沉闷的； 扁平的，
flat	 adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的 adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地 n. 平地；公寓；平面 vt. 使变平；[音乐]使（音调）下降，尤指降半音 vi. 逐渐变平；[音乐]以降调唱（或奏）
flee	 v.  [fled-fled] 逃离， 逃跑
flee	 v. 逃走；消失，消散
flesh	 n. 肉；肉体 v. 喂肉给…；使发胖
flexible	 adj. 灵活的；柔韧的；易弯曲的
flight	 n.  航班， 班机； 飞行， 飞翔
flight	 n. 飞行；班机；逃走 v. 射击；使惊飞
float	 v. 使漂浮；实行 n. 彩车，花车；漂流物；浮舟；浮萍
flood	 v. 淹没；充满；溢出 n. 洪水；泛滥；一大批
floor	 n.  地面， 地板； 楼层； 发言权； (海
floor	 n. 地板，地面；楼层；基底；议员席 v. 铺地板；打倒，击倒；（被困难）难倒
flour	 n. 面粉；粉状物质 v. 撒粉于；把…磨成粉
flow	 v. 流动，涌流；川流不息；飘扬 n. 流动；流量；涨潮，泛滥
flower	 n. 花；精华；开花植物 v. 成熟，发育；开花；繁荣；旺盛
flower	 v.  开花； 发育， 成熟； 繁荣 n. 花；花卉
flu	 n.  流行性感冒
flu	 n. 流感
fluency	 n. （语言、文章）流利；（技能）娴熟
fluent	 adj. 流畅的，流利的；液态的；畅流的
fly	 v. 乘飞机 v. 〔棒球中〕击腾空球，击高飞球 n. 蝇，苍蝇 adj. 时髦漂亮的
fly	 v. 飞；驾驶飞机；飘扬 n. 飞行；苍蝇；两翼昆虫 adj. 敏捷的
focus	 n. 焦点；中心；清晰；焦距 v. 使集中；使聚焦
fog	 n. 雾；烟雾，尘雾；迷惑 v. 使模糊；使困惑；以雾笼罩
foggy	 adj. 有雾的；模糊的，朦胧的
fold	 v.  折叠， 合拢 n. 褶痕，褶缝
fold	 v. 折叠；合拢；抱住；笼罩 n. 折痕；信徒；羊栏
folk	 n. 民族；人们；亲属（复数） adj. 民间的
follow	 v. 跟随；接着；遵照，听从；听懂，领会 n.  跟随
follow	 v. 跟随；遵循；追求；密切注意，注视；注意；倾听 n. 跟随；追随
following	 adj. 下面的；其次的，接着的 n. 下列事物；一批追随者 v. 跟随；沿行（follow的ing形式）
fond	 adj. 喜欢的；温柔的；宠爱的 n. (Fond)人名；(法)丰；(瑞典)丰德
food	 n.  食物， 食品
food	 n. 食物；养料
fool	 v. 欺骗，愚弄；干蠢事 adj.  愚蠢的 n. 蠢人，笨蛋
fool	 v. 欺骗；开玩笑；戏弄 n. 傻瓜；愚人；受骗者 adj. 傻的
foolish	 adj. 愚蠢的；傻的
foot	 n. 脚，足
foot	 n. 脚；英尺；步调；末尾 v. 步行；跳舞；总计
football	 n.  足球； 橄榄球
football	 n. 足球，橄榄球 vi. 踢足球；打橄榄球
for	 prep.  为， 为了； 给， 供； 代替， 代表； 因为， 由于； 就…而言； 往， 向
for	 prep. 为，为了；因为；给；对于；至于；适合于 conj. 因为
forbid	 v.  [forbade-forbidden] 不许， 禁止； 妨碍， 阻止
forbid	 v. 禁止；不准；不允许；〈正式〉严禁
force	 n. 军事行动，武力 v. 强制，逼迫，迫使
force	 n. 力量；武力；军队；魄力 v. 促使，推动；强迫；强加
forecast	 v. 预报，预测；预示 n. 预测，预报；预想
forehead	 n. 额，前额
foreign	 adj.  外国的， 外国产的； 对外的， 涉外的； 外来的
foreign	 adj. 外国的；外交的；异质的；不相关的
foreigner	 n. 外地人，外国人
foresee	 v. 预见；预知
forest	 n.  森林， 林木
forest	 v. 植树于，使成为森林 n. 森林
forever	 adv. 永远；不断地；常常
forget	 v.  [forgot-forgotten] 忘记， 遗忘
forget	 v. 忘记；忽略 n. (Forget)人名；(法)福尔热
forgetful	 adj. 健忘的；不注意的；疏忽的；使遗忘的
forgive	 v. 原谅；免除（债务、义务等）
fork	 n.  叉， 餐叉； 耙； 分叉， 岔口
fork	 n. 叉；餐叉；耙 v. 叉起；使成叉状
form	 n. 形式，形状；形态，外形；方式；表格 v. 构成，组成；排列，组织；产生，塑造
form	 v.  形成， 构成 n. 形式，种类；外形，外貌；表格
format	 n. 格式；版式；开本 v. 使格式化；规定…的格式
former	 adj. 从前的，前者的；前任的 n. 模型，样板；起形成作用的人
fortnight	 n. 两星期
fortunate	 adj. 幸运的；侥幸的；吉祥的；带来幸运的
fortune	 n. 财富；命运；运气 vt. 给予财富 vi. 偶然发生
forty	 n. 四十 adj. 四十的；四十个的
forty	 num.  四十
forward	 adj. 向前的；早的；迅速的 adv. 向前地；向将来 v. 促进；转寄；运送 n. 前锋
forward	 adv. 向前；向将来，从今往后 adj.  前部的， 位于前面的
found	 v.  创立， 创办， 创建
found	 v. 创立，建立；创办
founding	 adj. 创办的；发起的 v. [机] 铸造；建造；以…为基础（found的ing形式） n. [机] 铸造；溶解
fountain	 n. 喷泉，泉水；源泉
four	 num.  四
four	 num. 四；四个 adj. 四的；四个的 n. (Four)人名；(西)福尔；(法)富尔
fourteen	 num.  十四
fourteen	 num. 十四；十四个；第十四 n. 十四的记号；十四岁；十四点钟；十五世纪
fourteenth	 num. 第十四 n.  十四分之一
fourth	 adj. 第四的，第四个的；四分之一的 n. 第四，月的第四日；四分之一 num. 第四
fourth	 num. 第四 n.  四分之一
fox	 n.  狐狸； 狡猾的人
fox	 v. 欺骗；使变酸 n. 狐狸；狡猾的人
fragile	 adj. 脆的；易碎的
fragrant	 adj. 芳香的；愉快的
framework	 n. 框架，骨架；结构，构架
